Table 2.
        Density<comma> single-crystal elastic moduli (Cij)<comma> Voigt–Reuss–Hill (VRH) averages of the aggregate elastic properties and anisotropy of Fe-bearing phase A at the pressures investigated in this study
P (GPa),ρ (g/cm3),C11 (GPa),C33 (GPa),C44 (GPa),C12 (GPa),C13 (GPa),C66 (GPa) b
 0.0001, 2.976,180.8 (1.5),227.7 (2.0),62.7 (0.7),80.6 (1.2),51.2 (8),50.1 (5)
 2.8 (0),3.051,204 (2),251 (3),71.4 (1.4),95 (3),66.5 (1.3),54.4 (1.1)   # 1st run
 5.6 (1),3.118,223 (2),269 (3),78.6 (1.6),109 (3),75.5 (1.3),57.0 (1.1)
 6.8 (1),3.145,231 (2),276 (3),80.5 (1.8),115 (3),81.5 (1.6),58.3 (1.2)
 8.2 (1),3.175,240 (2),286 (4),83.2 (1.8),122 (3),87.3 (1.7),59.0 (1.2)
 9.0 (1),3.192,245 (3),291 (4),84.9 (1.9),125 (3),91.0 (1.8),59.7 (1.2)
10.4 (1),3.220,252 (3),299 (4),87.1 (1.9),133 (3),94.7 (1.9),60.0 (1.3)
11.7 (2),3.246,261 (4),308 (5),89.2 (2.1),139 (3),99.3 (2.0),60.8 (1.4)
 7.1 (1),3.152,231 (2),279 (3),80.7 (1.8),116 (3),81.7 (1.6),57.6 (1.2)
 2.2 (0),3.036,200 (2),246 (3),69.5 (1.5),92 (3),62.5 (1.3),53.9 (1.2)
 5.8 (1),3.123,222 (2),270 (3),78.1 (1.7),110.9 (2.2),76.9 (1.5),55.5 (1.1)  # 2nd run
 9.2 (1),3.196,245 (2),290 (4),83.9 (1.8),127.5 (2.5),91.2 (1.8),58.9 (1.2)
12.4 (2),3.259,262 (4),310 (5),89.6 (2.0),140.1 (2.6),101.2 (2.0),61.1 (1.2)

P (GPa),KS (GPa),μ (GPa),VP (km/s),VS (km/s),VP/VS,Poisson's ratio (ν),AP (%),AS (%)
0.0001,106 (1),61 (1),7.93,4.52,1.75,0.258 (2),12.0 (4),20.0 (7)
2.8,124 (2),67 (1),8.36,4.68,1.79 (2),0.272 (3),10.5 (4),19.0 (8)  # 1st run
5.6 (1),137 (2),71 (1),8.64,4.79,1.80 (2),0.278 (3),9.5 (4),19.6 (8)
6.8 (1),144 (2),73 (1),8.76,4.83,1.81 (2),0.282 (4),8.9 (3),19.0 (8)
8.2 (1),151 (2),75 (1),8.88,4.85,1.83 (2),0.287 (4),8.9 (3),19.3 (7)
9.0 (1),155 (2),76 (1),8.97,4.88,1.84 (2),0.290 (4),8.5 (3),19.3 (7)
10.4 (1),161 (2),77 (1),9.05,4.89,1.85 (2),0.294 (4),8.5 (3),20.2 (8)
11.7 (2),167 (2),79 (1),9.16,4.92,1.86 (2),0.297 (4),8.3 (3),20.6 (8)
7.1 (1)c,145 (2),73 (1),8.76,4.81,1.82 (2),0.284 (3),9.3 (4),19.9 (8)
2.2c,120 (2),66 (1),8.28,4.66,1.78 (2),0.268 (3),10.3 (4),19.3 (7)
5.8 (1),138 (2),71 (1),8.62,4.76,1.81 (2),0.281 (4),9.7 (4),19.8 (8)  # 2nd run
9.2 (1),156 (2),75 (1),8.94,4.83,1.85 (2),0.293 (4),8.4 (3),20.0 (8)
12.4 (2)d,169 (2),79 (1),9.17,4.92,1.87 (2),0.294 (4),8.3 (3),20.2 (8)
