Table 2.
        Single-crystal elastic constants cij (GPa)<comma> bulk modulus (K<comma> GPa)<comma> shear modulus (G<comma> GPa) at elevated P and T. The volume (V) represents four unit cells (120 atoms). RVH represent the Reuss–Voigt–Hill average.
V (Å3),1087.6,1087.6,1087.6,1037.2,1037.2,1037.2,997.0,997.0,997.0
T (K),1500,2000,3000,1500,2000,3000,1500,2000,3000
Pc (GPa),0.9,4.1,12.5,10.8,13.8,19.7,20.6,23.7,29.5
c11,380,359,391,456,443,413,513,516,486
c12,159,145,156,178,176,187,204,209,246
c13,89,73,104,130,123,102,157,162,141
c14,-27,-29,-31,-23,-27,-24,-40,-40,-30
c33,319,351,290,378,372,515,439,422,411
c44,79,59,59,101,98,89,123,120,103
c25,-18,-18,-18,-16,-18,-18,-16,-14,-19
KReuss,190,182,192,237,230,236,275,275,264
KVoigt,86,66,65,115,108,100,124,121,105
GReuss,195,183,200,241,234,236,278,280,271
GVoigt,103,97,94,125,122,122,143,140,122
KRVH,192,182,196,239,232,236,276,277,267
GRVH,94,82,80,120,115,111,134,131,114
