	Tfinal (K)	ρ (kg m−3)	c11 (GPa)	c12	c33	c13	c44	Ks (GPa)	G	Vp (km s−1)	Vs
hcp-Fe	0	14185	2493	1151	2689	1085	577	1590	655	13.18	6.80
hcp-Fe	2000	14138	2356	1282	2571	1083	476	1622	554	12.92	6.26
hcp-Fe	4000	13880	2092	1292	2275	1063	351	1566	423	12.39	5.52
hcp-Fe	5500	13739	1942	1303	2097	1077	276	1546	341	12.07	4.98
hcp-Fe	6600	13628	1803	1297	2067	1132	232	1560	284	11.93	4.57
hcp-Fe	7000	13529	1708	1289	1890	1060	202	1489	250	11.60	4.29
hcp-Fe	7250	13495	1653	1384	1824	1046	151	1488	198	11.39	3.82
hcp-Fe	7340	13482	1579	1399	1786	1013	153	1454	180	11.21	3.65
fcc-Fe	0	14156	2037	1377			863	1598	650	13.19	6.77
fcc-Fe	2000	14094	1949	1375			750	1610	565	12.96	6.33
fcc-Fe	5600	13743	1641	1298			541	1529	393	12.22	5.35
fcc-Fe	6000	13652	1555	1288			517	1501	364	12.06	5.16
fcc-Fe	6600	13611	1557	1349			492	1556	337	12.13	4.97
fcc-Fe	6750	13540	1465	1320			479	1507	316	11.94	4.83
fcc-FeNi0.065	0	14214	2062	1364			858	1597	654	13.18	6.79
fcc-FeNi0.065	5500	13781	1646	1341			524	1562	375	12.21	5.22
fcc-FeNi0.13	0	14278	2083	1365			872	1604	667	13.21	6.83
fcc-FeNi0.13	5500	13830	1593	1330			526	1535	368	12.10	5.16
fcc-FeNi0.13	7000	13515	1436	1302			445	1488	294	11.79	4.66
PREM		13090						1425	176	11.26	3.67
